周	代名也周至也遍也備也今名書義取周普
易	盈隻反此經名也虞翻注參同契云字從日下月
上經	上者對下立名經者常也法也徑也由也
乾	卦名
傳	直戀反以傳述爲義謂夫子十翼也解見發題
第一	亦作弟
王弼注	本亦作王輔嗣註音張具反今本或無注字師※無者非
䷀乾	竭然反依字作乾下乙乾從旦於㫃音偃※卦云乾健也此八純卦象天
元亨	許庚反卦德也訓通也餘放此
濳	捷鹽反
龍	喻陽氣及聖人
見龍	賢遍反示也注及下見龍皆同
利見	如字下皆同
大人	王肅云聖人在位之目
離隱	力智反
處於	昌吕反衆經不音者放此
德施	始豉反與也
不偏	音篇
則過	古臥反諸經内皆同
夕惕	他曆反怵惕也鄭𤣥云懼也廣雅同
若厲	力世反危也
无	音無易内皆作此字※文云竒字無也通於无者虚无道也玉述※天屈西北爲无
咎	其久反易内同
重剛	直龍反下同
竭知	音智
或躍	羊灼反廣雅云上也上音時掌反
所處	一本作可處
近乎	附近之近
猶	以救反
與	音預
不謬	靡幼反本或作繆音同
夫位	音符下皆同
亢	苦浪反子夏傳云極也廣雅云髙也
則佞	乃定反
邪	字又作耶似嗟反
※	吐亂反斷也斷音都亂反
資始	鄭云資取也
乃統	鄭云統本也
雲行	如字
雨施	始豉反卦内皆同
之累	劣僞反
者邪	或作耶同餘嗟反後協句辭皆放此
象	翔丈反精象擬象也
自強	其良反
反復	芳服反注同本亦作覆
大人造	鄭徂早反爲也王肅七到反就也至也劉歆父子作聚
文言	文飾卦下之言也夫子之十翼梁武帝云文言是文王所制
之長	張丈反
之幹	古旦反
體仁	如字京房荀爽董遇本作體信
利物	孟喜京荀陸績作利之
不成名	一本作不成乎名
遯世	徒頓反
无悶	門遜反
樂則	音洛
確乎	苦學反鄭云堅髙之貌※文云髙至
可拔	蒲八反鄭云移也廣雅云出也
庸行	下孟反
閑邪	似嗟反下同
幾	旣依反注同理初始微名幾
能全	一本作能令
尟克	今亦作鮮同仙善反少也
怵	※律反
解怠	佳賣反
上下	並如字王肅上音時掌反
非離	力智反
相應	應對之應易内不出者並同
流濕	申入反
就燥	蘇早先皁二反
聖人作	如字鄭云起也馬融作起
而當	都浪反易内皆同有異者别出
故盡	津忍反
當其	如字
上治	直吏反下及注同
放逺	于萬反
見而	賢遍反
粹	雖遂反
揮	音輝廣雅云動也王肅云散也本亦作輝義取光輝
爲行	下孟反下之行行而皆同
日可	人實反
未見	賢遍反
以辯	如字徐扶免反
重剛	直龍反下同
夫大人	音符發端之字皆放此
先天	悉薦反
後天	胡豆反
知喪	息浪反
其唯聖人乎	王肅本作愚人後結始作聖人
䷁坤	本又作巛巛今字也同困魂反※卦云順也八純卦象地
利牝	頻忍反徐邈扶忍反又扶死反
有攸	音由所也
喪朋	息浪反馬云失也下及注並同
必離	力智反
无疆	或作壃同居良反下及注同
必爭	爭𨷖之爭
履霜	如字鄭讀履爲禮
積著	張慮反衆經不音者皆同
始凝	魚冰反
馴	似遵反向秀云從也徐音訓此依鄭義
任其	而鴆反衆經皆同
知光	音智注同
不擅	善戰反專也
括	古活反結也方言云閉也廣雅云塞也
囊	乃剛反
无譽	音餘又音預
不造	七到反又曹早反
否	皮鄙反
閉	心計反字林方結反云闔也
施愼	並如字愼謹也象詞同本或作順非
之飾	申職反本或作餝俗字
坤至柔	本或有文言曰者
爲邪	似嗟反
餘殃	於良反鄭云禍惡也※文云凶也
臣弑	式志反本或作殺音同下同
由辯	如字馬云別也荀作變
言順	如字
直方大不習无不利則不疑其所行	張璠本此上有易曰衆家皆無
木蕃	伐𡊮反
而暢	勑亮反
隂疑	如字荀虞姚信蜀才本作凝
爲其	于僞反注爲其同
嫌	戸謙反注同鄭作謙荀虞陸董作嗛
未離	力智反
䷂屯	張倫反難也盈也坎宫二世卦
則否	備鄙反
得主則定	本亦作則寧
而難	乃旦反卦内除六二注難可餘並同賈逵注周語云畏憚也
天造	徂早反注同
草昧	音妹廣雅云草造也董云草昧微物
而不寧	而辭也鄭讀而曰能能猶安也
經論	音倫鄭如字謂論撰書禮樂施政事黃穎云經論匡濟也本亦作綸
磐	本亦作盤又作槃歩干反
桓	馬云槃※旋也
晏安	本又作宴各依字晏一諫反宴一見反
下賤	遐嫁反
屯如	子夏傳云如辭也
邅如	張連反馬云難行不進之貌
乗馬	繩證反四馬曰乗下及注並同鄭云馬牝牡曰乗子夏傳音繩
班如	如字子夏傳云相牽不進貌鄭本作般
媾	古后反馬云重㛰本作冓鄭云猶會本或作構者非
相近	附近之近下近五同又如字
即鹿	王肅作麓云山足
君子幾	徐音祈辭也注同又音機近也速也鄭作機云弩牙也
如舎	式夜反止也注下同徐音捨
往吝	力刃反又力愼反馬云恨也
雖比	毗志反下皆同
之易	以豉反
不揆	葵癸反
以從	如字鄭黃于用反
合好	呼報反下同
恢弘	苦回反大也
博施	式豉反及下文皆同
拯	拯救之拯
亨于	許庚反
他閒	閒厠之閒
漣如	音連※文云泣下也
應援	于眷反又音𡊮
闉	音因塞也春秋傳云當陳隧者井堙木刋是也
厄	於革反又於賣反
委仰	如字又魚亮反
長也	直良反
䷃蒙	莫公反蒙蒙也稚也稽覽圖云無以敎天下曰蒙方言云蒙萌也離宫四世卦
童	如字字書作僮鄭云未冠之稱廣雅云癡也
筮	市制反決也鄭云問
告	古毒反示也語也
再三	息暫反又如字
瀆	音獨亂也鄭云䙝也
則復	扶又反
能斷	丁亂反
夫疑	音扶六五注同
閡山	五代反
時中	張仲反注時中決中同又如字和也
童蒙求我	一本作來求我
不諮	本亦作咨又作資並通
果行	下孟反注及六三注象同
用※	吐活反注同徐又音稅
桎	音質
梏	古毒反在足曰桎在手曰梏小爾雅云杻謂之梏械謂之桎杻音丑
所惡	烏路反
包蒙	如字鄭云苞當作彪彪文也
用取	七住反本又作娶下及注同
獨逺	于万反下文同
能比	毗志反
以巽	音遜鄭云當作遜
擊蒙	經歷反王肅云治也馬鄭作繫
擊去	起吕反下同
爲之	于僞反又如字
扞	胡旦反
禦	魚吕反本又作衞
䷄需	音須字從兩重而者非飲食之道也訓養鄭讀爲秀解云陽氣秀而不直前者畏上坎也坤宫遊魂卦
