周	代名也周至也遍也備也今名書義取周普
易	盈隻反此經名也虞翻注參同契云字從日下月
上經	上者對下立名經者常也法也徑也由也
乾	卦名
傳	直戀反以傳述為義謂夫子十翼也解見𤼵題
第一	亦作弟
王弼注	本亦作王輔嗣註音張具反今本或無注字師説無者非
䷀乾	竭然反依字作乾下乙乾從旦㫃㫃音偃説卦云乾健也此八純卦象天
元亨	許庚反卦徳也訓通也餘放此
潛	捷鹽反
龍	喻陽氣及聖人
見龍	賢遍反示也注及下見龍皆同
利見如字下皆同大人	王肅云聖人在位之目
離隱	力智反
處於	昌呂反衆經不音者放此
徳施	始䜴反與也
不偏	音篇
則過	古臥反諸經内皆同
夕惕	他厯反怵惕也鄭𤣥云懼也廣雅同
若厲	力世反危也
无	音無易内皆作此字説文云竒字無也通於无者虚无道也玉述説天屈西北為无
咎	其久反易内同
重剛	直龍反下同
竭知	音智
或躍	羊灼反廣雅云上也上音時掌反
所處	一本作可處
近乎	附近之近
猶	以救反
與	音預
不謬	靡幼反本或作繆音同
夫位	音符下皆同
亢	苦浪反子夏傳云極也廣雅云髙也
則佞	乃定反
邪字又作耶似嗟反彖	吐亂反斷也斷音都亂反
資始	鄭云資取也
乃統	鄭云統本也
雲行	如字
雨施	始豉反卦内皆同
之累	劣偽反
者邪	或作耶同餘嗟反後協句辭皆放此
象	翔大反精象擬象也
自强	其良反
反復	芳服反注同本亦作覆
大人造	鄭徂早反為也王肅七到反就也至也劉歆父子作聚
文言	文飾卦下之言也夫子之十翼梁武帝云文言是文王所制
之長	張丈反
之幹	古旦反
體仁	如字京房荀爽董遇本作體信
利物	孟嘉京荀陸績作利之
不成名	一本作不成乎名
遯世	徒頓反
无悶	門遜反
樂則音洛確乎	苦學反鄭云堅髙之貌説文云髙至
可拔	蒲八反鄭云移也廣雅云出也
庸行	下孟反
閑邪	似嗟反下同
幾	既依反注同理初始微名幾
能全	一本作能令
尟克	今亦作鮮同仙善反少也
怵	※律反
解怠	佳賣反
上下	並如字王肅上音時掌反
非離	力智反
相應	應對之應易内不出者並同
流濕	申入反
就燥	蘇早先皁二反
聖人作如字鄭云起也馬融作起而當	都浪反易内皆同有異者别出
故盡	津忍反
當其	如字
上治	直吏反下及注同
放逺	于萬反
見而	賢遍反
粹	雖遂反
揮	音輝廣雅云動也王肅云散也本亦作輝義取光輝
為行	下孟反下之行行而皆同
日可	人實反
未見	賢遍反
以辯	如字徐扶免反
重剛	直龍反下同
夫大人	音符𤼵端之字皆放此
先天	悉薦反
後天	胡豆反
知喪	息浪反
其唯聖人乎	王肅本作愚人後結始作聖人
䷁坤	本又作巛巛今字也同困魂反説卦云順也八純卦象地
利牝	頻忍反徐邈扶忍反又扶允反
有攸	音由所也
喪朋	息浪反馬云失也下及注並同
必離	力智反
无疆	或作壃同居良反下及注同
必爭	爭鬬之爭
履霜	如字鄭讀履為禮
積著	張慮反衆經不音者皆同
始凝	魚氷反
馴	似遵反向秀云從也徐音訓此依鄭義
任其	而鴆反衆經皆同
知光音智注同不擅	善戰反専也
括	古活反結也方言云閉也廣雅云塞也
囊	乃剛反
无譽音餘又音預不造	七到反又曹早反
否	皮鄙反
閉	必計反字林兵結反云闗也
施慎並如字慎謹也象詞同本或作順非之飾	申職反本或作飾俗字
坤至柔	本或有文言曰者
為邪	似嗟反
餘殃	於良反鄭云禍惡也説文云凶也
臣弑	式志反本或作殺音同下同
由辯	如字馬云别也荀作變
言順	如字
直方大不習无不利則不疑其所行	張璠本此上有易曰衆家皆無
木蕃	伐袁反
而暢	勑亮反
隂疑	如字荀虞姚信蜀才本作凝
為其	于偽反注為其同
嫌	户謙反注同鄭作謙荀虞陸董作嗛
未離	力智反
䷂屯	張倫反難也盈也坎宫二世卦
則否	備鄙反
得主則定	本亦作則寜
而難	乃旦反卦内除六二注難可餘並同賈逵注周語云畏憚也
天造	徂早反注同
草昧	音妹廣雅云草造也董云草昧微物
而不寧	而辭也鄭讀而曰能能猶安也
經論	音倫鄭如字謂論撰書禮樂施政事黄頴云經論匡濟也本亦作綸
磐	本亦作盤又作槃歩千反
桓	馬云槃桓旋也
晏安本又作宴各依字晏一諫反宴一見反下賤	遐嫁反
屯如	子夏傳云如辭也
邅如	張連反馬云難行不進之貌
乗馬	繩證反四馬曰乗下及注並同鄭云馬牝牡曰乘子夏傳音繩
班如如字子夏傳云相牽不進貌鄭本作般媾	古后反馬云重㛰本作冓鄭云猶㑹本或作構者非
相近附近之近下近五同又如字即鹿	王肅作麓云山足
君子幾	徐音祈辭也注同又音機近也速也鄭作機云弩牙也
如舍	式夜反止也注下同徐音捨
往吝	力刃反又力慎反馬云恨也
雖比	毗志反下皆同
之易	以䜴反
不揆	葵癸反
以從	如字鄭黄于用反
合好呼報反下同恢𢎞	苦回反大也
博施	式豉反及下文皆同
拯	拯救之拯
亨于	許庚反
他間	間厠之間
漣如	音連説文云泣下也
應援	于眷反又音袁
闉	音因塞也春秋傳云當陳隧者井堙木刋是也
厄	於革反又於賣反
委仰	如字又魚亮反
長也	直良反
䷃蒙	莫公反蒙蒙也稚也稽覽圖云無以敎天下曰蒙方言云蒙萌也離宫四世卦
童	如字字書作僮鄭云未冠之稱廣雅云癡也
筮	市制反決也鄭云問
告	古毒反示也語也
再三	息暫反又如字
瀆	音獨亂也鄭云䙝也
則復	扶又反
能斷	丁亂反
夫疑	音扶六五注同
時中張仲反注時中決中同又如字和也童蒙求我	一本作來求我
不諮	本亦作咨又作資並通
果行	下孟反注及六三注象同
用説	吐活反注同徐又音税
桎	音質
梏	古毒反在足曰桎在手曰梏小爾雅云杻謂之梏械謂之桎杻音丑
所惡	烏路反
包蒙	如字鄭云苞當作彪彪文也
用取	七住反本又作娶下及注同
獨逺	于万反下文同
能比	毗志反
以巽	音遜鄭云當作遜
擊蒙	經厯反王肅云治也馬鄭作繫
擊去	起呂反下同
為之	于偽反又如字
扞胡旦反禦	魚吕反本又作衛
䷄需	音須字從雨重而者非飲食之道也訓養鄭讀為秀解云陽氣秀而不直前者畏上坎也坤宫遊魂卦
有孚	徐音敷信也又作敷
光	師讀絶句
亨貞吉	一句馬鄭揔為一句
