字號	字	攝	聲調	韻目	字母	開合	等第	清濁	上字	上字聲母	上字韻母	下字	下字聲母	下字韻母
1	東	通	平	東	端	合	1	全清	德			紅		
2	菄	通	平	東	端	合	1	全清	德			紅		
3	鶇	通	平	東	端	合	1	全清	德			紅		
4	䍶	通	平	東	端	合	1	全清	德			紅		
5	𠍀	通	平	東	端	合	1	全清	德			紅		
6	倲	通	平	東	端	合	1	全清	德			紅		
7	𩜍	通	平	東	端	合	1	全清	德			紅		
8	𢘐	通	平	東	端	合	1	全清	德			紅		
9	涷	通	平	東	端	合	1	全清	德			紅		
10	蝀	通	平	東	端	合	1	全清	德			紅		
11	凍	通	平	東	端	合	1	全清	德			紅		
12	鯟	通	平	東	端	合	1	全清	德			紅		
13	𢔅	通	平	東	端	合	1	全清	德			紅		
14	崠	通	平	東	端	合	1	全清	德			紅		
15	埬	通	平	東	端	合	1	全清	德			紅		
16	𧓕	通	平	東	端	合	1	全清	德			紅		
17	䰤	通	平	東	端	合	1	全清	德			紅		
18	同	通	平	東	定	合	1	全濁	徒			紅		
19	仝	通	平	東	定	合	1	全濁	徒			紅		
20	童	通	平	東	定	合	1	全濁	徒			紅		
21	僮	通	平	東	定	合	1	全濁	徒			紅		
22	銅	通	平	東	定	合	1	全濁	徒			紅		
23	桐	通	平	東	定	合	1	全濁	徒			紅		
24	峒	通	平	東	定	合	1	全濁	徒			紅		
25	硐	通	平	東	定	合	1	全濁	徒			紅		
26	𦨴	通	平	東	定	合	1	全濁	徒			紅		
27	𧱁	通	平	東	定	合	1	全濁	徒			紅		
28	筒	通	平	東	定	合	1	全濁	徒			紅		
29	瞳	通	平	東	定	合	1	全濁	徒			紅		
30	㼧	通	平	東	定	合	1	全濁	徒			紅		
31	𤭁	通	平	東	定	合	1	全濁	徒			紅		
32	罿	通	平	東	定	合	1	全濁	徒			紅		
33	犝	通	平	東	定	合	1	全濁	徒			紅		
34	筩	通	平	東	定	合	1	全濁	徒			紅		
35	潼	通	平	東	定	合	1	全濁	徒			紅		
36	曈	通	平	東	定	合	1	全濁	徒			紅		
37	洞	通	平	東	定	合	1	全濁	徒			紅		
38	侗	通	平	東	定	合	1	全濁	徒			紅		
39	橦	通	平	東	定	合	1	全濁	徒			紅		
40	烔	通	平	東	定	合	1	全濁	徒			紅		
41	䴀	通	平	東	定	合	1	全濁	徒			紅		
42	挏	通	平	東	定	合	1	全濁	徒			紅		
43	酮	通	平	東	定	合	1	全濁	徒			紅		
44	鮦	通	平	東	定	合	1	全濁	徒			紅		
45	㼿	通	平	東	定	合	1	全濁	徒			紅		
46	𦏆	通	平	東	定	合	1	全濁	徒			紅		
47	𦍻	通	平	東	定	合	1	全濁	徒			紅		
48	眮	通	平	東	定	合	1	全濁	徒			紅		
49	蕫	通	平	東	定	合	1	全濁	徒			紅		
50	穜	通	平	東	定	合	1	全濁	徒			紅		
51	衕	通	平	東	定	合	1	全濁	徒			紅		
52	𩍅	通	平	東	定	合	1	全濁	徒			紅		
53	𢈉	通	平	東	定	合	1	全濁	徒			紅		
54	䆚	通	平	東	定	合	1	全濁	徒			紅		
55	哃	通	平	東	定	合	1	全濁	徒			紅		
56	𢏕	通	平	東	定	合	1	全濁	徒			紅		
57	絧	通	平	東	定	合	1	全濁	徒			紅		
58	𨚯	通	平	東	定	合	1	全濁	徒			紅		
59	𨝯	通	平	東	定	合	1	全濁	徒			紅		
60	𪔜	通	平	東	定	合	1	全濁	徒			紅		
61	𩦶	通	平	東	定	合	1	全濁	徒			紅		
62	𪒿	通	平	東	定	合	1	全濁	徒			紅		
63	中	通	平	東	知	合	3	全清	陟			弓		
64	衷	通	平	東	知	合	3	全清	陟			弓		
65	忠	通	平	東	知	合	3	全清	陟			弓		
66	𦬕	通	平	東	知	合	3	全清	陟			弓		
67	蟲	通	平	東	澄	合	3	全濁	直			弓		
68	沖	通	平	東	澄	合	3	全濁	直			弓		
69	种	通	平	東	澄	合	3	全濁	直			弓		
70	盅	通	平	東	澄	合	3	全濁	直			弓		
71	爞	通	平	東	澄	合	3	全濁	直			弓		
72	𦬕	通	平	東	澄	合	3	全濁	直			弓		
73	翀	通	平	東	澄	合	3	全濁	直			弓		
74	浺	通	平	東	澄	合	3	全濁	直			弓		
75	終	通	平	東	章	合	3	全清	職			戎		
76	眾	通	平	東	章	合	3	全清	職			戎		
77	潀	通	平	東	章	合	3	全清	職			戎		
78	𣧩	通	平	東	章	合	3	全清	職			戎		
79	螽	通	平	東	章	合	3	全清	職			戎		
80	𧑄	通	平	東	章	合	3	全清	職			戎		
81	鼨	通	平	東	章	合	3	全清	職			戎		
82	蔠	通	平	東	章	合	3	全清	職			戎		
83	柊	通	平	東	章	合	3	全清	職			戎		
84	𩅧	通	平	東	章	合	3	全清	職			戎		
85	䶱	通	平	東	章	合	3	全清	職			戎		
86	鴤	通	平	東	章	合	3	全清	職			戎		
87	䈺	通	平	東	章	合	3	全清	職			戎		
88	泈	通	平	東	章	合	3	全清	職			戎		
89	䝦	通	平	東	章	合	3	全清	職			戎		
90	忡	通	平	東	徹	合	3	次清	敕			中		
91	浺	通	平	東	徹	合	3	次清	敕			中		
92	盅	通	平	東	徹	合	3	次清	敕			中		
93	崇	通	平	東	崇	合	3	全濁	鋤			弓		
94	崈	通	平	東	崇	合	3	全濁	鋤			弓		
95	㓽	通	平	東	崇	合	3	全濁	鋤			弓		
96	𩞉	通	平	東	崇	合	3	全濁	鋤			弓		
97	嵩	通	平	東	心	合	3	全清	息			弓		
98	崧	通	平	東	心	合	3	全清	息			弓		
99	𪀚	通	平	東	心	合	3	全清	息			弓		
100	娀	通	平	東	心	合	3	全清	息			弓		
